Source;Target;Type;Weight
KBR_ms.III.1635_005;KBR_ms.III.987_001;Undirected;0.099
KBR_ms.III.1635_005;AGR_Audience2152-4_001;Undirected;0.03
KBR_ms.III.1635_005;AGR_Audience2152-4_003;Undirected;0.02
KBR_ms.III.1635_005;AGR_Audience244-F_001;Undirected;0.057
KBR_ms.III.1635_005;AGR_Audience257-BIS_001;Undirected;0.089
KBR_ms.III.1635_005;AGR_Audience257-BIS_002;Undirected;0.089
KBR_ms.III.1635_005;AGR_Audience257-BIS_003;Undirected;0.059
KBR_ms.III.1635_005;AGR_Audience257-BIS_004;Undirected;0.071
KBR_ms.III.1635_005;AGR_Audience257-BIS_005;Undirected;0.145
KBR_ms.III.1635_005;AGR_Audience257-BIS_006;Undirected;0.069
KBR_ms.III.1635_005;AGR_Audience257-BIS_007;Undirected;0.065
KBR_ms.III.1635_005;AGR_Audience257-BIS_008;Undirected;0.048
KBR_ms.III.1635_005;AGR_Audience257-BIS_009;Undirected;0.077
KBR_ms.III.1635_005;AGR_Audience257-BIS_010;Undirected;0.129
KBR_ms.III.1635_005;AGR_Audience257-BIS_011;Undirected;0.079
KBR_ms.III.1635_005;AGR_Audience257-BIS_012;Undirected;0.055
KBR_ms.III.1635_005;AGR_Audience257-BIS_014;Undirected;0.053
KBR_ms.III.1635_005;AGR_Audience257-BIS_015;Undirected;0.0
KBR_ms.III.1635_005;AGR_Audience257-BIS_016;Undirected;0.085
KBR_ms.III.1635_005;AGR_Audience257-BIS_017;Undirected;0.044
KBR_ms.III.1635_005;AGR_Audience257-BIS_018;Undirected;0.073
KBR_ms.III.1635_005;AGR_Audience257-BIS_019;Undirected;0.048
KBR_ms.III.1635_005;AGR_Audience257-BIS_020;Undirected;0.088
KBR_ms.III.1635_005;AGR_Audience257-BIS_021;Undirected;0.066
KBR_ms.III.1635_005;AGR_Audience257-BIS_022;Undirected;0.095
KBR_ms.III.1635_005;AGR_Audience257-BIS_023;Undirected;0.099
KBR_ms.III.1635_005;AGR_Audience257-BIS_024;Undirected;0.023
KBR_ms.III.1635_005;AGR_Audience257-BIS_025;Undirected;0.064
KBR_ms.III.1635_005;AGR_Audience257-BIS_026;Undirected;0.038
KBR_ms.III.1635_005;AGR_Audience257-BIS_027;Undirected;0.109
KBR_ms.III.1635_005;AGR_Audience257-BIS_028;Undirected;0.108
KBR_ms.III.1635_005;AGR_Audience1398-6_001;Undirected;0.018
KBR_ms.III.1635_006;KBR_ms.III.1635_007;Undirected;0.17
KBR_ms.III.1635_006;KBR_ms.III.987_001;Undirected;0.033
KBR_ms.III.1635_006;AGR_Audience2152-4_001;Undirected;0.019
KBR_ms.III.1635_006;AGR_Audience2152-4_003;Undirected;0.03
KBR_ms.III.1635_006;AGR_Audience244-F_001;Undirected;0.025
KBR_ms.III.1635_006;AGR_Audience257-BIS_001;Undirected;0.063
KBR_ms.III.1635_006;AGR_Audience257-BIS_002;Undirected;0.075
KBR_ms.III.1635_006;AGR_Audience257-BIS_003;Undirected;0.034
KBR_ms.III.1635_006;AGR_Audience257-BIS_004;Undirected;0.048
KBR_ms.III.1635_006;AGR_Audience257-BIS_005;Undirected;0.093
KBR_ms.III.1635_006;AGR_Audience257-BIS_006;Undirected;0.057
KBR_ms.III.1635_006;AGR_Audience257-BIS_007;Undirected;0.022
KBR_ms.III.1635_006;AGR_Audience257-BIS_008;Undirected;0.097
KBR_ms.III.1635_006;AGR_Audience257-BIS_009;Undirected;0.036
KBR_ms.III.1635_006;AGR_Audience257-BIS_010;Undirected;0.11
KBR_ms.III.1635_006;AGR_Audience257-BIS_011;Undirected;0.067
KBR_ms.III.1635_006;AGR_Audience257-BIS_012;Undirected;0.095
KBR_ms.III.1635_006;AGR_Audience257-BIS_014;Undirected;0.061
KBR_ms.III.1635_006;AGR_Audience257-BIS_015;Undirected;0.056
KBR_ms.III.1635_006;AGR_Audience257-BIS_016;Undirected;0.083
KBR_ms.III.1635_006;AGR_Audience257-BIS_017;Undirected;0.165
KBR_ms.III.1635_006;AGR_Audience257-BIS_018;Undirected;0.078
KBR_ms.III.1635_006;AGR_Audience257-BIS_019;Undirected;0.041
KBR_ms.III.1635_006;AGR_Audience257-BIS_020;Undirected;0.074
KBR_ms.III.1635_006;AGR_Audience257-BIS_021;Undirected;0.061
KBR_ms.III.1635_006;AGR_Audience257-BIS_022;Undirected;0.048
KBR_ms.III.1635_006;AGR_Audience257-BIS_023;Undirected;0.031
KBR_ms.III.1635_006;AGR_Audience257-BIS_024;Undirected;0.033
KBR_ms.III.1635_006;AGR_Audience257-BIS_025;Undirected;0.019
KBR_ms.III.1635_006;AGR_Audience257-BIS_026;Undirected;0.069
KBR_ms.III.1635_006;AGR_Audience257-BIS_027;Undirected;0.062
KBR_ms.III.1635_006;AGR_Audience257-BIS_028;Undirected;0.12
KBR_ms.III.1635_006;AGR_Audience1398-6_001;Undirected;0.076
KBR_ms.III.1635_007;KBR_ms.III.987_001;Undirected;0.071
KBR_ms.III.1635_007;AGR_Audience2152-4_001;Undirected;0.04
KBR_ms.III.1635_007;AGR_Audience2152-4_003;Undirected;0.074
KBR_ms.III.1635_007;AGR_Audience244-F_001;Undirected;0.076
KBR_ms.III.1635_007;AGR_Audience257-BIS_001;Undirected;0.083
KBR_ms.III.1635_007;AGR_Audience257-BIS_002;Undirected;0.167
KBR_ms.III.1635_007;AGR_Audience257-BIS_003;Undirected;0.098
KBR_ms.III.1635_007;AGR_Audience257-BIS_004;Undirected;0.116
KBR_ms.III.1635_007;AGR_Audience257-BIS_005;Undirected;0.187
KBR_ms.III.1635_007;AGR_Audience257-BIS_006;Undirected;0.171
KBR_ms.III.1635_007;AGR_Audience257-BIS_007;Undirected;0.119
KBR_ms.III.1635_007;AGR_Audience257-BIS_008;Undirected;0.183
KBR_ms.III.1635_007;AGR_Audience257-BIS_009;Undirected;0.054
KBR_ms.III.1635_007;AGR_Audience257-BIS_010;Undirected;0.186
KBR_ms.III.1635_007;AGR_Audience257-BIS_011;Undirected;0.139
KBR_ms.III.1635_007;AGR_Audience257-BIS_012;Undirected;0.115
KBR_ms.III.1635_007;AGR_Audience257-BIS_014;Undirected;0.104
KBR_ms.III.1635_007;AGR_Audience257-BIS_015;Undirected;0.064
KBR_ms.III.1635_007;AGR_Audience257-BIS_016;Undirected;0.134
KBR_ms.III.1635_007;AGR_Audience257-BIS_017;Undirected;0.155
KBR_ms.III.1635_007;AGR_Audience257-BIS_018;Undirected;0.155
KBR_ms.III.1635_007;AGR_Audience257-BIS_019;Undirected;0.101
KBR_ms.III.1635_007;AGR_Audience257-BIS_020;Undirected;0.14
KBR_ms.III.1635_007;AGR_Audience257-BIS_021;Undirected;0.119
KBR_ms.III.1635_007;AGR_Audience257-BIS_022;Undirected;0.075
KBR_ms.III.1635_007;AGR_Audience257-BIS_023;Undirected;0.133
KBR_ms.III.1635_007;AGR_Audience257-BIS_024;Undirected;0.068
KBR_ms.III.1635_007;AGR_Audience257-BIS_025;Undirected;0.073
KBR_ms.III.1635_007;AGR_Audience257-BIS_026;Undirected;0.097
KBR_ms.III.1635_007;AGR_Audience257-BIS_027;Undirected;0.144
KBR_ms.III.1635_007;AGR_Audience257-BIS_028;Undirected;0.097
KBR_ms.III.1635_007;AGR_Audience1398-6_001;Undirected;0.049
KBR_ms.III.987_001;AGR_Audience2152-4_001;Undirected;0.054
KBR_ms.III.987_001;AGR_Audience2152-4_003;Undirected;0.017
KBR_ms.III.987_001;AGR_Audience244-F_001;Undirected;0.035
KBR_ms.III.987_001;AGR_Audience257-BIS_001;Undirected;0.099
KBR_ms.III.987_001;AGR_Audience257-BIS_002;Undirected;0.12
KBR_ms.III.987_001;AGR_Audience257-BIS_003;Undirected;0.233
KBR_ms.III.987_001;AGR_Audience257-BIS_004;Undirected;0.065
KBR_ms.III.987_001;AGR_Audience257-BIS_005;Undirected;0.115
KBR_ms.III.987_001;AGR_Audience257-BIS_006;Undirected;0.11
KBR_ms.III.987_001;AGR_Audience257-BIS_007;Undirected;0.046
KBR_ms.III.987_001;AGR_Audience257-BIS_008;Undirected;0.121
KBR_ms.III.987_001;AGR_Audience257-BIS_009;Undirected;0.088
KBR_ms.III.987_001;AGR_Audience257-BIS_010;Undirected;0.128
KBR_ms.III.987_001;AGR_Audience257-BIS_011;Undirected;0.231
KBR_ms.III.987_001;AGR_Audience257-BIS_012;Undirected;0.092
KBR_ms.III.987_001;AGR_Audience257-BIS_014;Undirected;0.101
KBR_ms.III.987_001;AGR_Audience257-BIS_015;Undirected;0.039
KBR_ms.III.987_001;AGR_Audience257-BIS_016;Undirected;0.186
KBR_ms.III.987_001;AGR_Audience257-BIS_017;Undirected;0.129
KBR_ms.III.987_001;AGR_Audience257-BIS_018;Undirected;0.174
KBR_ms.III.987_001;AGR_Audience257-BIS_019;Undirected;0.143
KBR_ms.III.987_001;AGR_Audience257-BIS_020;Undirected;0.094
KBR_ms.III.987_001;AGR_Audience257-BIS_021;Undirected;0.088
KBR_ms.III.987_001;AGR_Audience257-BIS_022;Undirected;0.076
KBR_ms.III.987_001;AGR_Audience257-BIS_023;Undirected;0.108
KBR_ms.III.987_001;AGR_Audience257-BIS_024;Undirected;0.168
KBR_ms.III.987_001;AGR_Audience257-BIS_025;Undirected;0.1
